record_id,challenge_id,primary_category,predicted_category,prediction_confidence,text
GHV20000012,GHV2CH0000012,DISASTER_MANAGEMENT,PUBLIC_SAFETY,0.7985375071009654,"Description: Local evaluation note — Vijayawada, Andhra Pradesh. Topic: emergency communication. Reported user group: local employers. Observed condition: the service has uneven coverage. Operating context: with fixed schedules. Timing: on high-commuter days. The purpose is to test whether a model generalizes to a new geographic context.
Context: industrial context in Vijayawada, Andhra Pradesh, India.
Citizen statement: Local employers report a local difficulty involving emergency communication.
State: Andhra Pradesh
District: Vijayawada
Language: English"
GHV20000078,GHV2CH0000078,EDUCATION,EMPLOYMENT,0.46174279706627996,"Description: Holdout case from Chennai, Tamil Nadu. A industrial community is reviewing vocational training. Feedback from self-help groups indicates that it creates repeated delays. Teams are working with manual handoffs. The condition is evaluated when connectivity is weak so that geographic generalization can be measured without relying on the training narrative.
Context: industrial context in Chennai, Tamil Nadu, India.
Citizen statement: Self-help groups report a local difficulty involving vocational training.
State: Tamil Nadu
District: Chennai
Language: Hinglish"
GHV20000096,GHV2CH0000096,INFRASTRUCTURE,EDUCATION,0.4605647680268283,"Description: Local evaluation note — Hyderabad, Telangana. Topic: school infrastructure. Reported user group: field technicians. Observed condition: the service returns after temporary fixes. Operating context: with manual handoffs. Timing: during weekend activity. The purpose is to test whether a model generalizes to a new geographic context.
Context: industrial context in Hyderabad, Telangana, India.
Citizen statement: Field technicians report a local difficulty involving school infrastructure.
State: Telangana
District: Hyderabad
Language: Hindi"
GHV20000125,GHV2CH0000125,PUBLIC_SAFETY,DISASTER_MANAGEMENT,0.5419166236999651,"Description: Geographic evaluation scenario in Lucknow, Uttar Pradesh: emergency communication is the subject of a local assessment. Public transport users report that the service works for some users but not others. The setting is rural; response is operating with limited field visibility. The case is examined during a field visit, and local evidence should be checked before routing.
Context: rural context in Lucknow, Uttar Pradesh, India.
Citizen statement: Public transport users report a local difficulty involving emergency communication.
State: Uttar Pradesh
District: Lucknow
Language: English"
GHV20000189,GHV2CH0000189,PUBLIC_SAFETY,ENERGY,0.28674043338700017,"Description: Geographic evaluation scenario in Hyderabad, Telangana: street lighting is the subject of a local assessment. Small businesses report that the service causes avoidable travel. The setting is urban; response is operating with paper-based tracking. The case is examined after an intervention stops, and local evidence should be checked before routing.
Context: urban context in Hyderabad, Telangana, India.
Citizen statement: Small businesses report a local difficulty involving street lighting.
State: Telangana
District: Hyderabad
Language: Hindi"
GHV20000190,GHV2CH0000190,EDUCATION,EMPLOYMENT,0.43846689034906994,"Description: Holdout case from Udham Singh Nagar, Uttarakhand. A agricultural community is reviewing vocational training. Feedback from drivers indicates that it is reported inconsistently. Teams are working with paper-based tracking. The condition is evaluated when several agencies receive reports so that geographic generalization can be measured without relying on the training narrative.
Context: agricultural context in Udham Singh Nagar, Uttarakhand, India.
Citizen statement: Drivers report a local difficulty involving vocational training.
State: Uttarakhand
District: Udham Singh Nagar
Language: English"
GHV20000231,GHV2CH0000231,ENERGY,PUBLIC_SAFETY,0.5066048067401437,"Description: For independent geographic testing, consider street lighting in Udham Singh Nagar, Uttarakhand. The reported users are market vendors; they describe a service that returns after temporary fixes. The operating context includes with uneven coverage, and the situation is most relevant after delayed maintenance. This scenario must be verified locally rather than assumed from another district.
Context: river-valley context in Udham Singh Nagar, Uttarakhand, India.
Citizen statement: Market vendors report a local difficulty involving street lighting.
State: Uttarakhand
District: Udham Singh Nagar
Language: English"
GHV20000252,GHV2CH0000252,DISASTER_MANAGEMENT,PUBLIC_SAFETY,0.7595598177400179,"Description: Local evaluation note — Gangtok, Sikkim. Topic: emergency communication. Reported user group: local employers. Observed condition: the service has uneven coverage. Operating context: with few response staff. Timing: during winter access. The purpose is to test whether a model generalizes to a new geographic context.
Context: high-altitude context in Gangtok, Sikkim, India.
Citizen statement: Local employers report a local difficulty involving emergency communication.
State: Sikkim
District: Gangtok
Language: English"
GHV20000302,GHV2CH0000302,EDUCATION,EMPLOYMENT,0.3557426578229562,"Description: Holdout case from Ranchi, Jharkhand. A river-valley community is reviewing vocational training. Feedback from community volunteers indicates that it is difficult to monitor. Teams are working with long travel between settlements. The condition is evaluated near the weekly market cycle so that geographic generalization can be measured without relying on the training narrative.
Context: river-valley context in Ranchi, Jharkhand, India.
Citizen statement: Community volunteers report a local difficulty involving vocational training.
State: Jharkhand
District: Ranchi
Language: Hinglish"
GHV20000320,GHV2CH0000320,INFRASTRUCTURE,EDUCATION,0.260161601458771,"Description: Local evaluation note — Shimla, Himachal Pradesh. Topic: school infrastructure. Reported user group: commuters. Observed condition: the service works for some users but not others. Operating context: with long travel between settlements. Timing: before expected weather disruption. The purpose is to test whether a model generalizes to a new geographic context.
Context: urban context in Shimla, Himachal Pradesh, India.
Citizen statement: Commuters report a local difficulty involving school infrastructure.
State: Himachal Pradesh
District: Shimla
Language: Hindi"
